"GroupName","GroupId","UsedIn"
"DG-INPOL-WIN-CFG-Edge_Login& Sync_Test","c05e72f0-a43e-43c8-951b-466ab79262ab","Configuration Profile / Settings Catalog: WIN-CFG-Edge_Login& Sync_Test [Include] | Configuration Profile / Settings Catalog: WIN-CFG-Edge_Login&Sync [Exclude]"
"DG-INAPP-CitrixSecureAccess-001-T","8019fb50-13e1-49a6-a123-00a238b384b4","Mobile App: Citrix Secure Access [Include] <available | required>"
"Lizenz - Microsoft Visio","18ce7055-bc79-4139-ac8e-40935725c0ef","Mobile App: QUAM Modeler [Include] <required> | Mobile App: Visio 2013 Professional [Include] <available>"
"UG-INAPP-Install_EASY-DTA-PLUS","0ee0529f-3f3d-4147-86e0-e5ce539ec503","Mobile App: Wischer EasyDTA-Plus-SEPA [Include] <available>"
"DG-INAPP-Citrix_Workspace_App_Available","34c1a43a-93b5-455a-a1ab-378c8fcaa167","Mobile App: Citrix Workspace App [Include] <available | required>"
"UG_Kofax_Power-PDF_TEST","6d4d141c-14cf-459c-8462-1ec048e80e95","Mobile App: Kofax Power PDF-Advanced [Include] <available> | Mobile App: Kofax_Power-PDF-Advanced [Include] <available>"
"Lizenz - ThinkCell PowerPoint PlugIn","c3fcb52c-59a4-4f09-90cc-6b989b1770df","Mobile App: thinkcellOperations thinkcell [Include] <available | required>"
"Lizenz - Adobe Acrobat DC Pro","8b0712a8-851e-4927-9e09-1676ec3ace2b","Mobile App: Adobe Acrobat [Include] <available> | Mobile App: Adobe Acrobat DC (Standard/Pro) [Include] <available> | Mobile App: Adobe Acrobat Reader [Exclude] <required> | Mobile App: Adobe Creative Cloud [Include] <available> | Mobile App: Adobe RemoteUpdateManager [Include] <required> | Device Health Script: Adobe Acrobat DC - Enable AutoUpdate [Include]"
"UG-INAPP-Install-Printix Client","5f11db31-74e9-4a28-ac79-c284eae29449","Mobile App: Printix Client [Include] <available | uninstall>"
"UG_GoTo_APP_TEST","f2b28df5-9cbf-409b-b311-0adba8df1900","Mobile App: GoTo GoToApp 4.17.0_03 [Include] <uninstall>"
"Lizenz - Adobe Acrobat DC Standard","fb54140a-850a-4c1e-a82d-63c962cf9393","Mobile App: Adobe Acrobat [Include] <available> | Mobile App: Adobe Acrobat DC (Standard/Pro) [Include] <available> | Mobile App: Adobe Acrobat Reader [Exclude] <required> | Mobile App: Adobe Creative Cloud [Include] <available> | Mobile App: Adobe RemoteUpdateManager [Include] <required> | Device Health Script: Adobe Acrobat DC - Enable AutoUpdate [Include]"
"DG-INAPP-EtopsAssetmanagerPro-001-Q","d6d72e6c-51f5-4d87-84ab-4ada41891334","Mobile App: Etops AssetManagerPro-PROD [Include] <available>"
"UG_APPS_TEST_thinkcellOperations_thinkcell","6f1be013-d89e-4f5e-8d23-2083139245e3","Mobile App: thinkcellOperations thinkcell [Include] <available | required>"
"UG-INAPP-Uninstall-Printix Client","cd2f7940-78b7-4daa-9859-427c0b80880d","Mobile App: Printix Client [Include] <available | uninstall>"
"UG-INAPP-DG_APP_TEST","62f0ee6f-fe3d-4d47-a92f-5cfdbd93c8ae","Configuration Profile / Settings Catalog: WIN-CFG-Prevent_User_from_Installing_Printer_Driver [Exclude] | Classic Device Configuration: WIN-CFG-User-Block_Printer [Exclude] | Classic Device Configuration: WIN-CFG-User-Block_USB-Storage [Exclude] | Mobile App: Adobe Illustrator [Include] <available> | Mobile App: Adobe InDesign [Include] <available> | Mobile App: Adobe Photoshop [Include] <available> | Mobile App: Citrix Workspace 2405 [Exclude] <available | required> | Mobile App: FreePDF [Include] <available> | Mobile App: Jabra Direct [Include] <available | required> | Mobile App: Marketing Fonts [Include] <available | required> | Mobile App: Scanner CANON DR-6030C [Include] <available | required> | Mobile App: Scanner Panasonic KV-S5076H [Include] <available | required> | Mobile App: WinSCP [Include] <available> | Device Health Script: Adobe Acrobat DC - Enable AutoUpdate [Include] | Device Health Script: WIN-REM Reset Citrix Dazzle Sites Store 0 [Exclude]"
"Lizenz - Adobe Illustrator CC","9f8ab43c-ec96-42a9-a352-41950bbf3516","Mobile App: Adobe Creative Cloud [Include] <available> | Mobile App: Adobe Illustrator [Include] <available> | Mobile App: Adobe RemoteUpdateManager [Include] <required>"
"WCK MDM Intune App Installation","9305b639-dbad-4dd0-ab9d-465e3a135b8d","Mobile App: Intune-Unternehmensportal [Include] <required>"
"grp_o365_intune_iPad_low_iOS","4a82ac4a-8b8d-4490-b5b6-22e115b16e94","Compliance Policy: DevCompl_PROD_iOS_DeviceProperty_OSversion-iPad10.5_COPE [Include]"
"grp_o365_intune_Android_PilotUsers_COPE","9c275b38-60ef-4bf0-8c66-ea541f012a72","Compliance Policy: DevConf_Android_COPE_Compliance_DeviceRooted [Include] | Compliance Policy: DevConf_Android_COPE_Compliance_DevicePasscode [Include] | Compliance Policy: DevConf_Android_COPE_Compliance_OS_version [Include] | Android Managed App Protection: AppConfig_Test_Android_All_AppProtection [Include]"
"Lizenz - VideoScribe","81fb7a17-c44a-4ffa-9a23-947bfc4847cf","Mobile App: Sparkol_VideoScribe_3.14.1_en_x64_01 [Include] <available>"
